plat,model,sopir,hari,hard_brake,idle_minutes,overspeed,jarak_km,suhu_mesin,muatan_ton,tebal_rem_mm,kondisi_ban_pct,kondisi_aki_pct
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,1,11,27,7,301.1,88.1,15.7,9.96,98.3,96.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,2,15,38,5,344.8,91.1,12.5,9.93,98.3,96.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,3,17,45,7,258.4,87.6,13.9,9.91,98.2,96.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,4,16,39,5,304.6,86.2,12.7,9.88,98.2,96.4
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,5,15,34,10,294.6,84.3,14.6,9.86,98.1,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,6,17,49,9,396.3,87.5,15.2,9.82,98.0,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,7,14,33,4,338.4,89.5,13.7,9.79,97.9,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,8,13,33,7,336.9,89.2,12.3,9.77,97.9,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,9,13,32,4,512.9,83.4,15.2,9.73,97.8,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,10,13,32,7,270.8,84.7,13.8,9.71,97.7,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,11,13,30,8,406.3,85.3,13.9,9.68,97.6,96.3
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,12,17,26,7,459.6,92.5,11.5,9.64,97.5,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,13,13,36,4,314.2,86.2,15.8,9.61,97.5,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,14,15,36,7,380.9,86.7,12.4,9.58,97.4,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,15,16,37,5,313.5,89.3,14.8,9.56,97.3,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,16,13,33,6,384.9,90.4,14.1,9.53,97.2,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,17,17,40,6,271.6,83.6,15.0,9.5,97.2,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,18,11,36,8,359.4,84.8,12.9,9.48,97.1,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,19,16,38,6,409.6,89.2,16.3,9.44,97.0,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,20,16,34,6,244.6,87.1,14.0,9.42,97.0,96.2
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,21,12,35,8,310.6,83.8,15.4,9.4,96.9,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,22,16,53,4,390.6,87.6,14.1,9.36,96.8,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,23,17,35,3,304.4,90.7,15.5,9.33,96.8,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,24,14,38,10,349.3,86.6,14.2,9.31,96.7,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,25,16,33,7,244.1,87.7,14.1,9.28,96.6,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,26,14,32,5,306.3,79.7,13.7,9.26,96.6,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,27,17,33,7,291.6,82.7,13.0,9.24,96.5,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,28,13,28,7,448.8,84.6,11.8,9.2,96.4,96.1
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,29,16,26,4,378.2,86.2,13.1,9.17,96.3,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,30,15,32,9,313.8,83.9,13.4,9.14,96.3,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,31,14,38,3,374.4,85.0,15.0,9.11,96.2,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,32,15,38,6,375.1,91.6,13.0,9.08,96.1,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,33,15,32,9,327.1,84.5,13.2,9.06,96.1,96.0
KT 9012 AB,UD Quester GWE 280,Rahmat Hidayat,34,15,30,6,359.6,86.3,15.1,9.03,96.0,96.0
